"","WH.CL.BO","WH.CL.YO","WH.CY.BU","WH.CY.YO","WH.SC.HE","WH.SC.SH","WH.SL.AN","WH.SL.BE","WH.SL.SH"
"Stephanonectria",0,0,1,0,0,0,0,0,0
"Stephanospora",0,0,0,0,0,1,0,0,0
"Stropharia",0,0,0,0,0,0,0,0,1
"Suillus",1,0,0,0,0,1,0,0,0
"Symmetrospora",1,0,0,0,0,0,0,0,1
"Syncephalis",1,1,1,1,1,1,1,1,1
"Talaromyces",1,1,0,1,1,1,1,1,0
"Tausonia",1,1,1,1,1,1,0,1,1
"Tetracladium",1,1,1,1,1,1,1,1,1
"Tetragoniomyces",0,1,1,1,1,1,1,1,1
"Tetragoniomycetaceae_gen_Incertae_sedis",1,0,1,0,1,1,1,1,1
"Tetrapisispora",0,1,0,0,0,0,0,0,0
"Thanatephorus",1,0,1,0,0,0,1,0,0
"Thelebolaceae_gen_Incertae_sedis",0,1,1,0,0,0,0,0,1
"Thelebolus",0,1,1,0,0,1,0,0,0
"Thelephora",1,0,0,0,0,0,1,0,0
"Thelonectria",1,1,1,1,1,1,1,1,1
"Thermomyces",0,1,0,1,0,1,1,1,0
"Tolypocladium",1,0,1,0,1,1,0,0,1
"Tomentella",0,0,0,0,0,1,1,1,0
"Torula",1,0,1,0,0,0,1,0,1
"Trechispora",0,0,0,0,0,1,0,0,1
"Trechisporales_gen_Incertae_sedis",0,0,0,1,1,0,0,1,0
"Trematosphaeria",0,0,0,0,0,1,0,0,0
"Tremella",0,0,0,0,1,0,1,0,0
"Tremellales_gen_Incertae_sedis",0,0,1,0,0,1,1,1,1
"Tremellodendropsidales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,1
"Tremellomycetes_gen_Incertae_sedis",0,1,0,0,1,0,0,0,0
"Triangularia",1,1,0,1,0,0,1,1,0
"Tricellula",0,0,1,0,0,0,1,0,0
"Trichoderma",1,1,1,1,1,1,1,1,1
"Tricholoma",0,0,0,0,1,0,0,0,0
"Tricholomopsis",0,0,0,0,1,0,0,0,0
"Trichophaeopsis",0,0,1,0,0,1,0,0,0
"Trichophyton",1,1,0,1,0,1,1,0,0
"Trichosporon",0,1,0,1,0,1,1,0,0
"Trichosporonales_gen_Incertae_sedis",1,1,0,1,1,0,0,1,1
"Tricladium",0,0,0,0,0,1,0,0,0
"Trimmatostroma",1,0,1,0,1,0,1,0,0
"Triscelophorus",1,1,0,1,1,1,1,1,1
"Truncatella",1,1,1,1,1,1,0,1,1
"Tubeufiaceae_gen_Incertae_sedis",1,0,0,0,1,0,0,0,1
"Tylospora",0,1,0,0,0,0,1,0,0
"Typhula",1,0,0,0,1,0,0,0,0
"Tyrannosorus",1,0,0,0,0,0,0,0,1
"Udeniozyma",1,1,1,1,1,1,1,1,0
"Umbelopsis",0,0,0,0,1,0,0,0,0
"Uncobasidium",0,0,1,0,0,0,1,0,0
"Uredinophila",0,0,0,0,1,0,1,0,0
"Ustilentyloma",0,0,0,0,0,1,0,0,0
"Valsonectria",0,0,0,0,1,1,0,0,0
"Variocladium",1,0,0,0,0,0,0,0,0
"Vermispora",0,0,0,0,0,1,0,0,1
"Verticillium",0,0,0,0,0,0,0,1,1
"Vishniacozyma",1,1,1,1,1,1,0,0,1
"Volutella",1,1,1,0,0,1,1,1,0
"Wallemia",0,0,0,1,0,0,0,0,0
"Westerdykella",0,1,0,0,0,1,0,0,1
"Wickerhamomyces",0,0,0,0,0,1,0,0,0
"Xylodon",0,0,1,1,1,1,1,1,1
"Zopfiella",1,0,0,0,0,0,0,0,0
"Zymoseptoria",0,1,0,0,0,0,0,0,0
